orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,mes,dayofyear,estacion,anio,dia_del_anio
31.0,Puerto Trinidad calle 47,BZ077,2021-08-25,2021.0,invierno,13.0,12.5,11.82,8.8,Ausencia,Ausencia,Ausencia,Ausencia,1000.0,100.0,300.0,3.5,0.7,0.22,0.2,7.7,125.0,12.0,100.0,0.005,0.001,0.01,0.2,61.0,Muy deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
31.0,Puerto Trinidad calle 47,BZ077,2021-10-27,2021.0,primavera,26.0,26.0,12.47,9.07,Ausencia,Ausencia,Ausencia,Ausencia,800.0,200.0,30.0,5.9,0.5,0.36,0.25,11.0,52.0,27.0,100.0,0.005,0.001,0.09909,0.2,52.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,2021-02-24,2021.0,verano,11.01,28.5,12.87,9.31,Presencia,Ausencia,Ausencia,Presencia,6000.0,5000.0,185.0,4.0,0.42,0.82,0.5,7.1,59.0,75.0,100.0,8.6,0.001,0.053,0.15,33.0,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",2.0,55.0,verano,2021.0,55.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,2021-05-19,2021.0,otoño,13.0,18.0,15.2,9.66,Ausencia,Ausencia,Ausencia,Ausencia,20000.0,1000.0,500.0,4.3,0.08,0.22,0.22,3.0,9.5,40.0,65.0,100.0,0.005,0.001,10.0,42.0,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",5.0,139.0,otoño,2021.0,139.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,2021-08-25,2021.0,invierno,12.0,16.0,10.13,8.63,Ausencia,Ausencia,Ausencia,Ausencia,10000.0,500.0,100.0,4.1,0.6,0.29,0.24,7.1,64.0,16.0,100.0,0.005,0.001,0.01,0.2,45.0,Muy deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",8.0,237.0,invierno,2021.0,237.0
30.0,Calle 14 y Costa - Salida cloaca,BZ078,2021-10-27,2021.0,primavera,27.0,27.5,12.65,9.18,Ausencia,Ausencia,Ausencia,Ausencia,6000.0,1400.0,100.0,5.7,0.89,0.75,0.59,7.2,140.0,70.0,100.0,0.005,0.001,0.21265,0.2,39.0,Extremadamente deteriorada,Berazategui,Calle 14 y costa - salida cloaca,-34.744.169,-58.177.231,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",10.0,300.0,primavera,2021.0,300.0
32.0,Costanera Hudson Calle 63,BZ080,2021-02-24,2021.0,verano,23.5,26.0,9.05,7.87,Ausencia,Ausencia,Ausencia,Ausencia,2250.0,500.0,185.0,4.1,0.15,0.58,0.59,6.0,50.0,50.0,100.0,7.8,0.001,0.061,0.15,51.0,Muy deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",2.0,55.0,verano,2021.0,55.0
32.0,Costanera Hudson Calle 63,BZ080,2021-05-19,2021.0,otoño,11.0,15.0,12.67,9.44,Ausencia,Ausencia,Ausencia,Ausencia,5000.0,800.0,600.0,3.2,0.1,0.75,0.75,3.1,11.0,43.0,80.0,100.0,0.008,0.001,10.0,44.0,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",5.0,139.0,otoño,2021.0,139.0
32.0,Costanera Hudson Calle 63,BZ080,2021-08-25,2021.0,invierno,12.0,10.0,10.16,9.36,Ausencia,Ausencia,Ausencia,Ausencia,10000.0,1000.0,100.0,3.4,0.7,0.2,0.15,9.4,62.0,21.0,100.0,0.0052,0.001,0.221,0.2,43.0,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",8.0,237.0,invierno,2021.0,237.0
32.0,Costanera Hudson Calle 63,BZ080,2021-10-27,2021.0,primavera,26.0,26.0,11.52,8.94,Ausencia,Ausencia,Ausencia,Ausencia,190000.0,20000.0,500.0,5.4,0.34,0.47,0.19,13.0,130.0,50.0,100.0,0.0057,0.001,0.84016,0.2,33.0,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.76,"""Agricultura, ganadería, caza y silvicultura""",10.0,300.0,primavera,2021.0,300.0
